caractere,sens,lecture
損,Damage / Loss / Disadvantage,そん | そこ.なう そこな.う -そこ.なう そこ.ねる -そこ.ねる
枝,Bough / Branch / Twig,し | えだ
測,Fathom / Plan / Scheme,そく | はか.る
講,Lecture / Club / Association,こう | -
紹,Introduce / Inherit / Help,しょう | -
介,Jammed In / Shellfish / Mediate,かい | -
湖,Lake,こ | みずうみ
銅,Copper,どう | あかがね
油,Oil / Fat,ゆ ゆう | あぶら
旧,Old Times / Old Things / Old Friend,きゅう | ふる.い もと
姓,Surname,せい しょう | -
貿,Trade / Exchange,ぼう | -
将,Leader / Commander / General,しょう そう | まさ.に はた まさ ひきい.る もって
伸,Expand / Stretch / Extend,しん | の.びる の.ばす の.べる の.す
幅,Hanging Scroll / Width,ふく | はば
甘,Sweet / Coax / Pamper,かん | あま.い あま.える あま.やかす うま.い
換,Interchange / Period / Change,かん | か.える -か.える か.わる
療,Heal / Cure,りょう | -
般,Carrier / Carry / All,はん | -
依,Reliant / Depend On / Consequently,い え | よ.る
漁,Fishing / Fishery,ぎょ りょう | あさ.る
募,Recruit / Campaign / Gather (contributions),ぼ | つの.る
患,Afflicted / Disease / Suffer From,かん | わずら.う
湾,Gulf / Bay / Inlet,わん | いりえ
爆,Bomb / Burst Open / Pop,ばく | は.ぜる
跡,Tracks / Mark / Print,せき | あと
香,Incense / Smell / Perfume,こう きょう | か かお.り かお.る
兆,Portent / 10**12 / Trillion,ちょう | きざ.す きざ.し
齢,Age,れい | よわい とし
刊,Publish / Carve / Engrave,かん | -
傾,Lean / Incline / Tilt,けい | かたむ.く かたむ.ける かたぶ.く かた.げる かし.げる
奥,Heart / Interior,おう | おく おく.まる くま
贈,Presents / Send / Give To,ぞう そう | おく.る
超,Transcend / Super- / Ultra-,ちょう | こ.える こ.す
雇,Employ / Hire,こ | やと.う
片,One-sided / Leaf / Sheet,へん | かた- かた
群,Flock / Group / Crowd,ぐん | む.れる む.れ むら むら.がる
埋,Bury / Be Filled Up / Embedded,まい | う.める う.まる う.もれる うず.める うず.まる い.ける
駐,Stop-over / Reside In / Resident,ちゅう | -
柱,Pillar / Post / Cylinder,ちゅう | はしら
鋭,Pointed / Sharpness / Edge,えい | するど.い
殿,Mr. / Hall / Mansion,でん てん | との -どの
薄,Dilute / Thin / Weak (tea),はく | うす.い うす- -うす うす.める うす.まる うす.らぐ うす.ら- うす.れる すすき
伺,Pay Respects / Visit / Ask,し | うかが.う
炭,Charcoal / Coal,たん | すみ
包,Wrap / Pack Up / Cover,ほう | つつ.む くる.む
衣,Garment / Clothes / Dressing,い え | ころも きぬ -ぎ
鉱,Mineral / Ore,こう | あらがね
双,Pair / Set / Comparison,そう | ふた たぐい ならぶ ふたつ
床,Bed / Counter For Beds / Floor,しょう | とこ ゆか
掘,Dig / Delve / Excavate,くつ | ほ.る
泊,Overnight Stay / Put Up At / Ride At Anchor,はく | と.まる と.める
荒,Laid Waste / Rough / Rude,こう | あら.い あら- あ.れる あ.らす -あ.らし すさ.む
袋,Sack / Bag / Pouch,たい だい | ふくろ
珍,Rare / Curious / Strange,ちん | めずら.しい たから
籍,Enroll / Domiciliary Register / Membership,せき | -
刷,Printing / Print / Brush,さつ | す.る -ず.り -ずり は.く
封,Seal / Closing,ふう ほう | -
筒,Cylinder / Pipe / Tube,とう | つつ
柔,Tender / Weakness / Gentleness,じゅう にゅう | やわ.らか やわ.らかい やわ やわ.ら
沈,Sink / Be Submerged / Subside,ちん じん | しず.む しず.める
辛,Spicy / Bitter / Hot,しん | から.い つら.い -づら.い かのと
匹,Equal / Head / Counter For Small Animals,ひつ | ひき
叫,Shout / Exclaim / Yell,きょう | さけ.ぶ
涙,Tears / Sympathy,るい れい | なみだ
缶,Tin Can / Container / Jar Radical (no. 121),かん | かま
粒,Grains / Drop / Counter For Tiny Particles,りゅう | つぶ
塔,Pagoda / Tower / Steeple,とう | -
肌,Texture / Skin / Body,き | はだ
舟,Boat / Ship,しゅう | ふね ふな- -ぶね
曇,Cloudy Weather / Cloud Up,どん | くも.る
磨,Grind / Polish / Scour,ま | みが.く す.る
湿,Damp / Wet / Moist,しつ しゅう | しめ.る しめ.す うるお.う うるお.す
硬,Stiff / Hard,こう | かた.い
鈍,Dull / Slow / Foolish,どん | にぶ.い にぶ.る にぶ- なま.る なまく.ら
涼,Refreshing / Nice And Cool,りょう | すず.しい すず.む すず.やか うす.い ひや.す まことに
零,Zero / Spill / Overflow,れい | ぜろ こぼ.す こぼ.れる
綿,Cotton,めん | わた
帽,Cap / Headgear,ぼう もう | ずきん おお.う
憎,Hate / Detest,ぞう | にく.む にく.い にく.らしい にく.しみ
滴,Drip / Drop,てき | しずく したた.る
畳,Tatami Mat / Counter For Tatami Mats / Fold,じょう ちょう | たた.む たたみ かさ.なる
畜,Livestock / Domestic Fowl And Animals,ちく | -
溶,Melt / Dissolve / Thaw,よう | と.ける と.かす と.く
踊,Jump / Dance / Leap,よう | おど.る
賢,Intelligent / Wise / Wisdom,けん | かしこ.い
灯,Lamp / A Light / Light,とう | ひ ほ- ともしび とも.す あかり
咲,Blossom / Bloom,しょう | さ.く -ざき
塗,Paint / Plaster / Daub,と | ぬ.る ぬ.り まみ.れる
召,Seduce / Call / Send For,しょう | め.す
